"Name","Source","Page","Level","Casting Time","Duration","School","Range","Components","Classes","Optional/Variant Classes","Text","At Higher Levels"
"Hellish Rebuke","PHB'24","284","1st","Reaction","Instantaneous","Evocation","60 feet","V, S","Warlock","","The creature that damaged you is momentarily surrounded by green flames. It makes a Dexterity saving throw, taking 2d10 Fire damage on a failed save or half as much damage on a successful one."," Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 1."
"Hex","PHB'24","285","1st","Bonus","Concentration, up to 1 hour","Enchantment","90 feet","V, S, M (the petrified eye of a newt)","Warlock","","You place a curse on a creature that you can see within range. Until the spell ends, you deal an extra 1d6 Necrotic damage to the target whenever you hit it with an attack roll. Also, choose one ability when you cast the spell. The target has Disadvantage on ability checks made with the chosen ability.If the target drops to 0 Hit Points before this spell ends, you can take a Bonus Action on a later turn to curse a new creature."," Using a Higher-Level Spell Slot. Your Concentration can last longer with a spell slot of level 2 (up to 4 hours), 3-4 (up to 8 hours), or 5+ (24 hours)."
"Arms of Hadar","PHB'24","243","1st","Action","Instantaneous","Conjuration","Self (10-foot emanation)","V, S","Warlock","","Invoking Hadar, you cause tendrils to erupt from yourself. Each creature in a 10-foot Emanation originating from you makes a Strength saving throw. On a failed save, a target takes 2d6 Necrotic damage and can't take Reactions until the start of its next turn. On a successful save, a target takes half as much damage only."," Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 1."
"Toll the Dead","PHB'24","334","Cantrip","Action","Instantaneous","Necromancy","60 feet","V, S","Cleric, Warlock, Wizard","","You point at one creature you can see within range, and the single chime of a dolorous bell is audible within 10 feet of the target. The target must succeed on a Wisdom saving throw or take 1d8 Necrotic damage. If the target is missing any of its Hit Points, it instead takes 1d12 Necrotic damage."," Cantrip Upgrade. The damage increases by one die when you reach levels 5 (2d8 or 2d12), 11 (3d8 or 3d12), and 17 (4d8 or 4d12)."
"Minor Illusion","PHB'24","298","Cantrip","Action","1 minute","Illusion","30 feet","S, M (a bit of fleece)","Bard, Sorcerer, Warlock, Wizard","","You create a sound or an image of an object within range that lasts for the duration. See the descriptions below for the effects of each. The illusion ends if you cast this spell again.If a creature takes a Study action to examine the sound or image, the creature can determine that it is an illusion with a successful Intelligence (Investigation) check against your spell save DC. If a creature discerns the illusion for what it is, the illusion becomes faint to the creature. Sound. If you create a sound, its volume can range from a whisper to a scream. It can be your voice, someone else's voice, a lion's roar, a beating of drums, or any other sound you choose. The sound continues unabated throughout the duration, or you can make discrete sounds at different times before the spell ends. Image. If you create an image of an object—such as a chair, muddy footprints, or a small chest—it must be no larger than a 5-foot Cube. The image can't create sound, light, smell, or any other sensory effect. Physical interaction with the image reveals it to be an illusion, since things can pass through it.",""
"Blade Ward","PHB'24","247","Cantrip","Action","Concentration, up to 1 minute","Abjuration","Self","V, S","Bard, Sorcerer, Warlock, Wizard","","Whenever a creature makes an attack roll against you before the spell ends, the attacker subtracts 1d4 from the attack roll.",""
"False Life","PHB'24","271","1st","Action","Instantaneous","Necromancy","Self","V, S, M (a drop of alcohol)","Artificer, Sorcerer, Wizard","","You gain 2d4 + 4 Temporary Hit Points."," Using a Higher-Level Spell Slot. You gain 5 additional Temporary Hit Points for each spell slot level above 1."
"Disguise Self","PHB'24","262","1st","Action","1 hour","Illusion","Self","V, S","Artificer, Bard, Sorcerer, Wizard","","You make yourself—including your clothing, armor, weapons, and other belongings on your person—look different until the spell ends. You can seem 1 foot shorter or taller and can appear heavier or lighter. You must adopt a form that has the same basic arrangement of limbs as you have. Otherwise, the extent of the illusion is up to you.The changes wrought by this spell fail to hold up to physical inspection. For example, if you use this spell to add a hat to your outfit, objects pass through the hat, and anyone who touches it would feel nothing.To discern that you are disguised, a creature must take the Study action to inspect your appearance and succeed on an Intelligence (Investigation) check against your spell save DC.",""
"Longstrider","PHB'24","293","1st","Action","1 hour","Transmutation","Touch","V, S, M (a pinch of dirt)","Artificer, Bard, Druid, Ranger, Wizard","","You touch a creature. The target's Speed increases by 10 feet until the spell ends."," Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 1."
"Teleport","PHB'24","331","7th","Action","Instantaneous","Conjuration","10 feet","V","Bard, Sorcerer, Wizard","","This spell instantly transports you and up to eight willing creatures that you can see within range, or a single object that you can see within range, to a destination you select. If you target an object, it must be Large or smaller, and it can't be held or carried by an unwilling creature.The destination you choose must be known to you, and it must be on the same plane of existence as you. Your familiarity with the destination determines whether you arrive there successfully. The DM rolls 1d100 and consults the Teleportation Outcome table and the explanations after it.Teleportation OutcomeFamiliarityMishapSimilar AreaOff TargetOn TargetPermanent circle———01-00Linked object———01-00Very familiar01-0506-1314-2425-00Seen casually01-3334-4344-5354-00Viewed once or described01-4344-5354-7374-00False destination01-5051-00—— Familiarity. Here are the meanings of the terms in the table's Familiarity column:""Permanent circle"" means a permanent teleportation circle whose sigil sequence you know.""Linked object"" means you possess an object taken from the desired destination within the last six months, such as a book from a wizard's library.""Very familiar"" is a place you have visited often, a place you have carefully studied, or a place you can see when you cast the spell.""Seen casually"" is a place you have seen more than once but with which you aren't very familiar.""Viewed once or described"" is a place you have seen once, possibly using magic, or a place you know through someone else's description, perhaps from a map.""False destination"" is a place that doesn't exist. Perhaps you tried to scry an enemy's sanctum but instead viewed an illusion, or you are attempting to teleport to a location that no longer exists. Mishap. The spell's unpredictable magic results in a difficult journey. Each teleporting creature (or the target object) takes 3d10 Force damage, and the DM rerolls on the table to see where you wind up (multiple mishaps can occur, dealing damage each time). Similar Area. You and your group (or the target object) appear in a different area that's visually or thematically similar to the target area. You appear in the closest similar place. If you are heading for your home laboratory, for example, you might appear in another person's laboratory in the same city. Off Target. You and your group (or the target object) appear 2d12 miles away from the destination in a random direction. Roll 1d8 for the direction: 1, east; 2, southeast; 3, south; 4, southwest; 5, west; 6, northwest; 7, north; or 8, northeast. On Target. You and your group (or the target object) appear where you intended.",""
"Chill Touch","PHB'24","249","Cantrip","Action","Instantaneous","Necromancy","Touch","V, S","Sorcerer, Warlock, Wizard","","Channeling the chill of the grave, make a melee spell attack against a target within reach. On a hit, the target takes 1d10 Necrotic damage, and it can't regain Hit Points until the end of your next turn."," Cantrip Upgrade. The damage increases by 1d10 when you reach levels 5 (2d10), 11 (3d10), and 17 (4d10)."
"Eldritch Blast","PHB'24","267","Cantrip","Action","Instantaneous","Evocation","120 feet","V, S","Warlock","","You hurl a beam of crackling energy. Make a ranged spell attack against one creature or object in range. On a hit, the target takes 1d10 Force damage."," Cantrip Upgrade. The spell creates two beams at level 5, three beams at level 11, and four beams at level 17. You can direct the beams at the same target or at different ones. Make a separate attack roll for each beam."
"Friends","PHB'24","277","Cantrip","Action","Concentration, up to 1 minute","Enchantment","10 feet","S, M (some makeup)","Bard, Sorcerer, Warlock, Wizard","","You magically emanate a sense of friendship toward one creature you can see within range. The target must succeed on a Wisdom saving throw or have the Charmed condition for the duration. The target succeeds automatically if it isn't a Humanoid, if you're fighting it, or if you have cast this spell on it within the past 24 hours.The spell ends early if the target takes damage or if you make an attack roll, deal damage, or force anyone to make a saving throw. When the spell ends, the target knows it was Charmed by you.",""
"Mage Hand","PHB'24","293","Cantrip","Action","1 minute","Conjuration","30 feet","V, S","Artificer, Bard, Sorcerer, Warlock, Wizard","","A spectral, floating hand appears at a point you choose within range. The hand lasts for the duration. The hand vanishes if it is ever more than 30 feet away from you or if you cast this spell again.When you cast the spell, you can use the hand to manipulate an object, open an unlocked door or container, stow or retrieve an item from an open container, or pour the contents out of a vial.As a Magic action on your later turns, you can control the hand thus again. As part of that action, you can move the hand up to 30 feet.The hand can't attack, activate magic items, or carry more than 10 pounds.",""
"Mind Sliver","PHB'24","298","Cantrip","Action","Instantaneous","Enchantment","60 feet","V","Sorcerer, Warlock, Wizard","","You try to temporarily sliver the mind of one creature you can see within range. The target must succeed on an Intelligence saving throw or take 1d6 Psychic damage and subtract 1d4 from the next saving throw it makes before the end of your next turn."," Cantrip Upgrade. The damage increases by 1d6 when you reach levels 5 (2d6), 11 (3d6), and 17 (4d6)."
"Poison Spray","PHB'24","306","Cantrip","Action","Instantaneous","Necromancy","30 feet","V, S","Artificer, Druid, Sorcerer, Warlock, Wizard","","You spray toxic mist at a creature within range. Make a ranged spell attack against the target. On a hit, the target takes 1d12 Poison damage."," Cantrip Upgrade. The damage increases by 1d12 when you reach levels 5 (2d12), 11 (3d12), and 17 (4d12)."
"Prestidigitation","PHB'24","307","Cantrip","Action","1 hour","Transmutation","10 feet","V, S","Artificer, Bard, Sorcerer, Warlock, Wizard","","You create a magical effect within range. Choose the effect from the options below. If you cast this spell multiple times, you can have up to three of its non-instantaneous effects active at a time. Sensory Effect. You create an instantaneous, harmless sensory effect, such as a shower of sparks, a puff of wind, faint musical notes, or an odd odor. Fire Play. You instantaneously light or snuff out a candle, a torch, or a small campfire. Clean or Soil. You instantaneously clean or soil an object no larger than 1 cubic foot. Minor Sensation. You chill, warm, or flavor up to 1 cubic foot of nonliving material for 1 hour. Magic Mark. You make a color, a small mark, or a symbol appear on an object or a surface for 1 hour. Minor Creation. You create a nonmagical trinket or an illusory image that can fit in your hand. It lasts until the end of your next turn. A trinket can deal no damage and has no monetary worth.",""
"Thunderclap","PHB'24","333","Cantrip","Action","Instantaneous","Evocation","Self (5-foot emanation)","S","Artificer, Bard, Druid, Sorcerer, Warlock, Wizard","","Each creature in a 5-foot Emanation originating from you must succeed on a Constitution saving throw or take 1d6 Thunder damage. The spell's thunderous sound can be heard up to 100 feet away."," Cantrip Upgrade. The damage increases by 1d6 when you reach levels 5 (2d6), 11 (3d6), and 17 (4d6)."
"True Strike","PHB'24","336","Cantrip","Action","Instantaneous","Divination","Self","S, M (a weapon with which you have proficiency and that is worth 1+ CP)","Bard, Sorcerer, Warlock, Wizard","","Guided by a flash of magical insight, you make one attack with the weapon used in the spell's casting. The attack uses your spellcasting ability for the attack and damage rolls instead of using Strength or Dexterity. If the attack deals damage, it can be Radiant damage or the weapon's normal damage type (your choice)."," Cantrip Upgrade. Whether you deal Radiant damage or the weapon's normal damage type, the attack deals extra Radiant damage when you reach levels 5 (1d6), 11 (2d6), and 17 (3d6)."
"Calm Emotions","PHB'24","249","2nd","Action","Concentration, up to 1 minute","Enchantment","60 feet","V, S","Bard, Cleric","","Each Humanoid in a 20-foot-radius Sphere centered on a point you choose within range must succeed on a Charisma saving throw or be affected by one of the following effects (choose for each creature):The creature has Immunity to the Charmed and Frightened conditions until the spell ends. If the creature was already Charmed or Frightened, those conditions are suppressed for the duration.The creature becomes Indifferent about creatures of your choice that it's Hostile toward. This indifference ends if the target takes damage or witnesses its allies taking damage. When the spell ends, the creature's attitude returns to normal.",""
"Cloud of Daggers","PHB'24","251","2nd","Action","Concentration, up to 1 minute","Conjuration","60 feet","V, S, M (a sliver of glass)","Bard, Sorcerer, Warlock, Wizard","","You conjure spinning daggers in a 5-foot Cube centered on a point within range. Each creature in that area takes 4d4 Slashing damage. A creature also takes this damage if it enters the Cube or ends its turn there or if the Cube moves into its space. A creature takes this damage only once per turn.On your later turns, you can take a Magic action to teleport the Cube up to 30 feet."," Using a Higher-Level Spell Slot. The damage increases by 2d4 for each spell slot level above 2."
"Crown of Madness","PHB'24","259","2nd","Action","Concentration, up to 1 minute","Enchantment","120 feet","V, S","Bard, Sorcerer, Warlock, Wizard","","One creature that you can see within range must succeed on a Wisdom saving throw or have the Charmed condition for the duration. The creature succeeds automatically if it isn't Humanoid.A spectral crown appears on the Charmed target's head, and it must use its action before moving on each of its turns to make a melee attack against a creature other than itself that you mentally choose. The target can act normally on its turn if you choose no creature or if no creature is within its reach. The target repeats the save at the end of each of its turns, ending the spell on itself on a success.On your later turns, you must take the Magic action to maintain control of the target, or the spell ends.",""
"Darkness","PHB'24","260","2nd","Action","Concentration, up to 10 minutes","Evocation","60 feet","V, M (bat fur and a piece of coal)","Sorcerer, Warlock, Wizard","","For the duration, magical Darkness spreads from a point within range and fills a 15-foot-radius Sphere. Darkvision can't see through it, and nonmagical light can't illuminate it.Alternatively, you cast the spell on an object that isn't being worn or carried, causing the Darkness to fill a 15-foot Emanation originating from that object. Covering that object with something opaque, such as a bowl or helm, blocks the Darkness.If any of this spell's area overlaps with an area of Bright Light or Dim Light created by a spell of level 2 or lower, that other spell is dispelled.",""
"Enthrall","PHB'24","269","2nd","Action","1 minute","Enchantment","60 feet","V, S","Bard, Warlock","","You weave a distracting string of words, causing creatures of your choice that you can see within range to make a Wisdom saving throw. Any creature you or your companions are fighting automatically succeeds on this save. On a failed save, a target has a -10 penalty to Wisdom (Perception) checks and Passive Perception until the spell ends.",""
"Hold Person","PHB'24","286","2nd","Action","Concentration, up to 1 minute","Enchantment","60 feet","V, S, M (a straight piece of iron)","Bard, Cleric, Druid, Sorcerer, Warlock, Wizard","","Choose a Humanoid that you can see within range. The target must succeed on a Wisdom saving throw or have the Paralyzed condition for the duration. At the end of each of its turns, the target repeats the save, ending the spell on itself on a success."," Using a Higher-Level Spell Slot. You can target one additional Humanoid for each spell slot level above 2."
"Invisibility","PHB'24","289","2nd","Action","Concentration, up to 1 hour","Illusion","Touch","V, S, M (an eyelash in gum arabic)","Artificer, Bard, Sorcerer, Warlock, Wizard","","A creature you touch has the Invisible condition until the spell ends. The spell ends early immediately after the target makes an attack roll, deals damage, or casts a spell."," Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 2."
"Mind Spike","PHB'24","298","2nd","Action","Concentration, up to 1 hour","Divination","120 feet","S","Sorcerer, Warlock, Wizard","","You drive a spike of psionic energy into the mind of one creature you can see within range. The target makes a Wisdom saving throw, taking 3d8 Psychic damage on a failed save or half as much damage on a successful one. On a failed save, you also always know the target's location until the spell ends, but only while the two of you are on the same plane of existence. While you have this knowledge, the target can't become hidden from you, and if it has the Invisible condition, it gains no benefit from that condition against you."," Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 2."
"Mirror Image","PHB'24","299","2nd","Action","1 minute","Illusion","Self","V, S","Bard, Sorcerer, Warlock, Wizard","","Three illusory duplicates of yourself appear in your space. Until the spell ends, the duplicates move with you and mimic your actions, shifting position so it's impossible to track which image is real.Each time a creature hits you with an attack roll during the spell's duration, roll a d6 for each of your remaining duplicates. If any of the d6s rolls a 3 or higher, one of the duplicates is hit instead of you, and the duplicate is destroyed. The duplicates otherwise ignore all other damage and effects. The spell ends when all three duplicates are destroyed.A creature is unaffected by this spell if it has the Blinded condition, Blindsight, or Truesight.",""
"Misty Step","PHB'24","299","2nd","Bonus","Instantaneous","Conjuration","Self","V","Sorcerer, Warlock, Wizard","","Briefly surrounded by silvery mist, you teleport up to 30 feet to an unoccupied space you can see.",""
"Phantasmal Force","PHB'24","304","2nd","Action","Concentration, up to 1 minute","Illusion","60 feet","V, S, M (a bit of fleece)","Bard, Sorcerer, Wizard","","You attempt to craft an illusion in the mind of a creature you can see within range. The target makes an Intelligence saving throw. On a failed save, you create a phantasmal object, creature, or other phenomenon that is no larger than a 10-foot Cube and that is perceivable only to the target for the duration. The phantasm includes sound, temperature, and other stimuli.The target can take a Study action to examine the phantasm with an Intelligence (Investigation) check against your spell save DC. If the check succeeds, the target realizes that the phantasm is an illusion, and the spell ends.While affected by the spell, the target treats the phantasm as if it were real and rationalizes any illogical outcomes from interacting with it. For example, if the target steps through a phantasmal bridge and survives the fall, it believes the bridge exists and something else caused it to fall.An affected target can even take damage from the illusion if the phantasm represents a dangerous creature or hazard. On each of your turns, such a phantasm can deal 2d8 Psychic damage to the target if it is in the phantasm's area or within 5 feet of the phantasm. The target perceives the damage as a type appropriate to the illusion.",""
"Ray of Enfeeblement","PHB'24","311","2nd","Action","Concentration, up to 1 minute","Necromancy","60 feet","V, S","Warlock, Wizard","","A beam of enervating energy shoots from you toward a creature within range. The target must make a Constitution saving throw. On a successful save, the target has Disadvantage on the next attack roll it makes until the start of your next turn.On a failed save, the target has Disadvantage on Strength-based D20 Tests for the duration. During that time, it also subtracts 1d8 from all its damage rolls. The target repeats the save at the end of each of its turns, ending the spell on a success.",""
"Spider Climb","PHB'24","318","2nd","Action","Concentration, up to 1 hour","Transmutation","Touch","V, S, M (a drop of bitumen and a spider)","Artificer, Sorcerer, Warlock, Wizard","","Until the spell ends, one willing creature you touch gains the ability to move up, down, and across vertical surfaces and along ceilings, while leaving its hands free. The target also gains a Climb Speed equal to its Speed."," Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level about 2."
"Suggestion","PHB'24","320","2nd","Action","Concentration, up to 8 hours","Enchantment","30 feet","V, M (a drop of honey)","Bard, Sorcerer, Warlock, Wizard","","You suggest a course of activity—described in no more than 25 words—to one creature you can see within range that can hear and understand you. The suggestion must sound achievable and not involve anything that would obviously deal damage to the target or it allies. For example, you could say, ""Fetch the key to the cult's treasure vault, and give the key to me."" Or you could say, ""Stop fighting, leave this library peacefully, and don't return.""The target must succeed on a Wisdom saving throw or have the Charmed condition for the duration or until you or your allies deal damage to the target. The Charmed target pursues the suggestion to the best of its ability. The suggested activity can continue for the entire duration, but if the suggested activity can be completed in a shorter time, the spell ends for the target upon completing it.",""
