"Name","Source","Page","Level","Casting Time","Duration","School","Range","Components","Classes","Optional/Variant Classes","Text","At Higher Levels"
"Arcane Gate","PHB'24","242","6th","Action","Concentration, up to 10 minutes","Conjuration","500 feet","V, S","Sorcerer, Warlock, Wizard","","You create linked teleportation portals. Choose two Large, unoccupied spaces on the ground that you can see, one space within range and the other one within 10 feet of you. A circular portal opens in each of those spaces and remains for the duration.The portals are two-dimensional glowing rings filled with mist that blocks sight. They hover inches from the ground and are perpendicular to it.A portal is open on only one side (you choose which). Anything entering the open side of a portal exits from the open side of the other portal as if the two were adjacent to each other. As a Bonus Action, you can change the facing of the open sides.",""
"Armor of Agathys","PHB'24","243","1st","Bonus","1 hour","Abjuration","Self","V, S, M (a shard of blue glass)","Warlock","","Protective magical frost surrounds you. You gain 5 Temporary Hit Points. If a creature hits you with a melee attack roll before the spell ends, the creature takes 5 Cold damage. The spell ends early if you have no Temporary Hit Points."," Using a Higher-Level Spell Slot. The Temporary Hit Points and the Cold damage both increase by 5 for each spell slot level above 1."
"Arms of Hadar","PHB'24","243","1st","Action","Instantaneous","Conjuration","Self (10-foot emanation)","V, S","Warlock","","Invoking Hadar, you cause tendrils to erupt from yourself. Each creature in a 10-foot Emanation originating from you makes a Strength saving throw. On a failed save, a target takes 2d6 Necrotic damage and can't take Reactions until the start of its next turn. On a successful save, a target takes half as much damage only."," Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 1."
"Astral Projection","PHB'24","243","9th","1 Hr.","Until dispelled","Necromancy","10 feet","V, S, M (for each of the spell's targets, one jacinth worth 1,000+ GP and one silver bar worth 100+ GP, all of which the spell consumes)","Cleric, Warlock, Wizard","","You and up to eight willing creatures within range project your astral bodies into the Astral Plane (the spell ends instantly if you are already on that plane). Each target's body is left behind in a state of suspended animation; it has the Unconscious condition, doesn't need food or air, and doesn't age.A target's astral form resembles its body in almost every way, replicating its game statistics and possessions. The principal difference is the addition of a silvery cord that trails from between the shoulder blades of the astral form. The cord fades from view after 1 foot. If the cord is cut—which happens only when an effect states that it does so—the target's body and astral form both die.A target's astral form can travel through the Astral Plane. The moment an astral form leaves that plane, the target's body and possessions travel along the silver cord, causing the target to re-enter its body on the new plane.Any damage or other effects that apply to an astral form have no effect on the target's body and vice versa. If a target's body or astral form drops to 0 Hit Points, the spell ends for that target. The spell ends for all the targets if you take a Magic action to dismiss it.When the spell ends for a target who isn't dead, the target reappears in its body and exits the state of suspended animation.",""
"Bane","PHB'24","245","1st","Action","Concentration, up to 1 minute","Enchantment","30 feet","V, S, M (a drop of blood)","Bard, Cleric, Warlock","","Up to three creatures of your choice that you can see within range must each make a Charisma saving throw. Whenever a target that fails this save makes an attack roll or a saving throw before the spell ends, the target must subtract 1d4 from the attack roll or save."," Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 1."
"Banishment","PHB'24","245","4th","Action","Concentration, up to 1 minute","Abjuration","30 feet","V, S, M (a pentacle)","Cleric, Paladin, Sorcerer, Warlock, Wizard","","One creature that you can see within range must succeed on a Charisma saving throw or be transported to a harmless demiplane for the duration. While there, the target has the Incapacitated condition. When the spell ends, the target reappears in the space it left or in the nearest unoccupied space if that space is occupied.If the target is an Aberration, a Celestial, an Elemental, a Fey, or a Fiend, the target doesn't return if the spell lasts for 1 minute. The target is instead transported to a random location on a plane (DM's choice) associated with its creature type."," Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 4."
"Befuddlement","PHB'24","245","8th","Action","Instantaneous","Enchantment","150 feet","V, S, M (a key ring with no keys)","Bard, Druid, Warlock, Wizard","","You blast the mind of a creature that you can see within range. The target makes an Intelligence saving throw.On a failed save, the target takes 10d12 Psychic damage and can't cast spells or take the Magic action. At the end of every 30 days, the target repeats the save, ending the effect on a success. The effect can also be ended by the Greater Restoration, Heal, or Wish spell.On a successful save, the target takes half as much damage only.",""
"Blade Ward","PHB'24","247","Cantrip","Action","Concentration, up to 1 minute","Abjuration","Self","V, S","Bard, Sorcerer, Warlock, Wizard","","Whenever a creature makes an attack roll against you before the spell ends, the attacker subtracts 1d4 from the attack roll.",""
"Blight","PHB'24","247","4th","Action","Instantaneous","Necromancy","30 feet","V, S","Druid, Sorcerer, Warlock, Wizard","","A creature that you can see within range makes a Constitution saving throw, taking 8d8 Necrotic damage on a failed save or half as much damage on a successful one. A Plant creature automatically fails the save.Alternatively, target a nonmagical plant that isn't a creature, such as a tree or shrub. It doesn't make a save; it simply withers and dies."," Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 4."
"Blink","PHB'24","248","3rd","Action","1 minute","Transmutation","Self","V, S","Artificer, Sorcerer, Wizard","","Roll 1d6 at the end of each of your turns for the duration. On a roll of 4-6, you vanish from your current plane of existence and appear in the Ethereal Plane (the spell ends instantly if you are already on that plane). While on the Ethereal Plane, you can perceive the plane you left, which is cast in shades of gray, but you can't see anything there more than 60 feet away. You can affect and be affected only by other creatures on the Ethereal Plane, and creatures on the other plane can't perceive you unless they have a special ability that lets them perceive things on the Ethereal Plane.You return to the other plane at the start of your next turn and when the spell ends if you are on the Ethereal Plane. You return to an unoccupied space of your choice that you can see within 10 feet of the space you left. If no unoccupied space is available within that range, you appear in the nearest unoccupied space.",""
